,index,Parent,Agency No.,Name,Contact,Operating Hours,Address,Zip Code,Unnamed: 7,Status,Latitude,Longitude,Filter_1,Filter_2,Requirements/Comments,Services Offered,Parent Agency No.,Input,Model_Output,day,hour,window
1086,348,,,Durham Spanish SDA Church,919-215-1855,"(2nd Tues), 2:00pm-4:00pm","1606 Liberty St., Durham, NC 27703",27703,,,35.991238,-78.874348,Food Distribution,Food Pantries,Drive-thru,"Fresh Food, Hygiene supplies, Diapers",,"(2nd Tues), 2:00pm-4:00pm","[
    {
        ""Day"": ""tuesday"",
        ""Opening_Hour"": ""02:00 pm"",
        ""Closing_Hour"": ""04:00 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    }
]",Tuesday,14,14:00–15:59
1088,349,,,Elizabeth Street UMC – Hot Meals,919-688-7138,"Tuesday, 6:00pm","1209 North Elizabeth St., Durham, NC 27701",27701,,,36.0048987,-78.8912496,Food Distribution,Food Pantries,,"Fresh Food, se habla español",,"Tuesday, 6:00pm","[
    {
        ""Day"": ""tuesday"",
        ""Opening_Hour"": ""06:00 pm"",
        ""Closing_Hour"": ""unknown"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    }
]",Tuesday,18,18:00–19:59
1089,350,,,Emanuel Food Pantry,919-526-3386,"Wednesday, Visit: emanuelfoodpantry.org/register.html at 7am on Wed to register drive up appointment","2504 N. Roxboro St., Durham, NC 27704",27704,,,36.0218253,-78.8895009,Food Distribution,Feeding Program,"Wednesday from 5:30-6pm Bread on Fridays, Call for appointment, Drive-thru ",Hot meals,,"Wednesday, Visit: emanuelfoodpantry.org/register.html at 7am on Wed to register drive up appointment","[
    {
        ""Day"": ""wednesday"",
        ""Opening_Hour"": ""07:00 am"",
        ""Closing_Hour"": ""unknown"",
        ""Week"": [
            ""1""
        ]
    }
]",Wednesday,7,06:00–07:59
1090,351,,,First Calvary Baptist Church,919-489-4184,"Tuesday, Thursday 10:00am-12:00pm","1311 Morehead Ave., Durham, NC 27707",27707,DURHAM,,35.991681126644,-78.91952680866308,Food Distribution,Food Pantries,"Fill out application, Mask required, Arrive early",,,"Tuesday, Thursday 10:00am-12:00pm","[
    {
        ""Day"": ""tuesday"",
        ""Opening_Hour"": ""10:00 am"",
        ""Closing_Hour"": ""12:00 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    },
    {
        ""Day"": ""thursday"",
        ""Opening_Hour"": ""10:00 am"",
        ""Closing_Hour"": ""12:00 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    }
]",Tuesday,10,10:00–11:59
1092,351,,,First Calvary Baptist Church,919-489-4184,"Tuesday, Thursday 10:00am-12:00pm","1311 Morehead Ave., Durham, NC 27707",27707,DURHAM,,35.991681126644,-78.91952680866308,Food Distribution,Food Pantries,"Fill out application, Mask required, Arrive early",,,"Tuesday, Thursday 10:00am-12:00pm","[
    {
        ""Day"": ""tuesday"",
        ""Opening_Hour"": ""10:00 am"",
        ""Closing_Hour"": ""12:00 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    },
    {
        ""Day"": ""thursday"",
        ""Opening_Hour"": ""10:00 am"",
        ""Closing_Hour"": ""12:00 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    }
]",Thursday,10,10:00–11:59
1094,352,,,Fisher Memorial United Holy Church,919-682-7416,Wednesday 12:00pm-1:00pm,"420 E. Piedmont Ave., Durham, NC 27707",27707,DURHAM,,35.9838929,-78.8997136,Food Distribution,Food Pantries,,,,Wednesday 12:00pm-1:00pm,"[
    {
        ""Day"": ""wednesday"",
        ""Opening_Hour"": ""12:00 pm"",
        ""Closing_Hour"": ""01:00 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    }
]",Wednesday,12,12:00–13:59
1095,353,,,Grace Outreach Ministry,919-423-3215,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday,  M-F (Emergency) = 10:30am-12:00pm","612 Gary St., Durham, NC 27703",27703,,,35.9909709,-78.8701335,Food Distribution,Food Pantries,,se habla español,,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday,  M-F (Emergency) = 10:30am-12:00pm","[
    {
        ""Day"": ""monday"",
        ""Opening_Hour"": ""10:30 am"",
        ""Closing_Hour"": ""12:00 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    },
    {
        ""Day"": ""tuesday"",
        ""Opening_Hour"": ""10:30 am"",
        ""Closing_Hour"": ""12:00 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    },
    {
        ""Day"": ""wednesday"",
        ""Opening_Hour"": ""10:30 am"",
        ""Closing_Hour"": ""12:00 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    },
    {
        ""Day"": ""thursday"",
        ""Opening_Hour"": ""10:30 am"",
        ""Closing_Hour"": ""12:00 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    },
    {
        ""Day"": ""friday"",
        ""Opening_Hour"": ""10:30 am"",
        ""Closing_Hour"": ""12:00 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    },
    {
        ""Day"": ""saturday"",
        ""Opening_Hour"": ""10:30 am"",
        ""Closing_Hour"": ""12:00 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    },
    {
        ""Day"": ""sunday"",
        ""Opening_Hour"": ""10:30 am"",
        ""Closing_Hour"": ""12:00 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    }
]",Monday,10,10:00–11:59
1097,353,,,Grace Outreach Ministry,919-423-3215,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday,  M-F (Emergency) = 10:30am-12:00pm","612 Gary St., Durham, NC 27703",27703,,,35.9909709,-78.8701335,Food Distribution,Food Pantries,,se habla español,,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday,  M-F (Emergency) = 10:30am-12:00pm","[
    {
        ""Day"": ""monday"",
        ""Opening_Hour"": ""10:30 am"",
        ""Closing_Hour"": ""12:00 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    },
    {
        ""Day"": ""tuesday"",
        ""Opening_Hour"": ""10:30 am"",
        ""Closing_Hour"": ""12:00 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    },
    {
        ""Day"": ""wednesday"",
        ""Opening_Hour"": ""10:30 am"",
        ""Closing_Hour"": ""12:00 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    },
    {
        ""Day"": ""thursday"",
        ""Opening_Hour"": ""10:30 am"",
        ""Closing_Hour"": ""12:00 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    },
    {
        ""Day"": ""friday"",
        ""Opening_Hour"": ""10:30 am"",
        ""Closing_Hour"": ""12:00 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    },
    {
        ""Day"": ""saturday"",
        ""Opening_Hour"": ""10:30 am"",
        ""Closing_Hour"": ""12:00 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    },
    {
        ""Day"": ""sunday"",
        ""Opening_Hour"": ""10:30 am"",
        ""Closing_Hour"": ""12:00 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    }
]",Tuesday,10,10:00–11:59
1099,353,,,Grace Outreach Ministry,919-423-3215,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday,  M-F (Emergency) = 10:30am-12:00pm","612 Gary St., Durham, NC 27703",27703,,,35.9909709,-78.8701335,Food Distribution,Food Pantries,,se habla español,,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday,  M-F (Emergency) = 10:30am-12:00pm","[
    {
        ""Day"": ""monday"",
        ""Opening_Hour"": ""10:30 am"",
        ""Closing_Hour"": ""12:00 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    },
    {
        ""Day"": ""tuesday"",
        ""Opening_Hour"": ""10:30 am"",
        ""Closing_Hour"": ""12:00 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    },
    {
        ""Day"": ""wednesday"",
        ""Opening_Hour"": ""10:30 am"",
        ""Closing_Hour"": ""12:00 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    },
    {
        ""Day"": ""thursday"",
        ""Opening_Hour"": ""10:30 am"",
        ""Closing_Hour"": ""12:00 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    },
    {
        ""Day"": ""friday"",
        ""Opening_Hour"": ""10:30 am"",
        ""Closing_Hour"": ""12:00 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    },
    {
        ""Day"": ""saturday"",
        ""Opening_Hour"": ""10:30 am"",
        ""Closing_Hour"": ""12:00 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    },
    {
        ""Day"": ""sunday"",
        ""Opening_Hour"": ""10:30 am"",
        ""Closing_Hour"": ""12:00 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    }
]",Wednesday,10,10:00–11:59
1101,353,,,Grace Outreach Ministry,919-423-3215,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday,  M-F (Emergency) = 10:30am-12:00pm","612 Gary St., Durham, NC 27703",27703,,,35.9909709,-78.8701335,Food Distribution,Food Pantries,,se habla español,,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday,  M-F (Emergency) = 10:30am-12:00pm","[
    {
        ""Day"": ""monday"",
        ""Opening_Hour"": ""10:30 am"",
        ""Closing_Hour"": ""12:00 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    },
    {
        ""Day"": ""tuesday"",
        ""Opening_Hour"": ""10:30 am"",
        ""Closing_Hour"": ""12:00 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    },
    {
        ""Day"": ""wednesday"",
        ""Opening_Hour"": ""10:30 am"",
        ""Closing_Hour"": ""12:00 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    },
    {
        ""Day"": ""thursday"",
        ""Opening_Hour"": ""10:30 am"",
        ""Closing_Hour"": ""12:00 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    },
    {
        ""Day"": ""friday"",
        ""Opening_Hour"": ""10:30 am"",
        ""Closing_Hour"": ""12:00 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    },
    {
        ""Day"": ""saturday"",
        ""Opening_Hour"": ""10:30 am"",
        ""Closing_Hour"": ""12:00 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    },
    {
        ""Day"": ""sunday"",
        ""Opening_Hour"": ""10:30 am"",
        ""Closing_Hour"": ""12:00 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    }
]",Thursday,10,10:00–11:59
1103,353,,,Grace Outreach Ministry,919-423-3215,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday,  M-F (Emergency) = 10:30am-12:00pm","612 Gary St., Durham, NC 27703",27703,,,35.9909709,-78.8701335,Food Distribution,Food Pantries,,se habla español,,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday,  M-F (Emergency) = 10:30am-12:00pm","[
    {
        ""Day"": ""monday"",
        ""Opening_Hour"": ""10:30 am"",
        ""Closing_Hour"": ""12:00 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    },
    {
        ""Day"": ""tuesday"",
        ""Opening_Hour"": ""10:30 am"",
        ""Closing_Hour"": ""12:00 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    },
    {
        ""Day"": ""wednesday"",
        ""Opening_Hour"": ""10:30 am"",
        ""Closing_Hour"": ""12:00 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    },
    {
        ""Day"": ""thursday"",
        ""Opening_Hour"": ""10:30 am"",
        ""Closing_Hour"": ""12:00 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    },
    {
        ""Day"": ""friday"",
        ""Opening_Hour"": ""10:30 am"",
        ""Closing_Hour"": ""12:00 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    },
    {
        ""Day"": ""saturday"",
        ""Opening_Hour"": ""10:30 am"",
        ""Closing_Hour"": ""12:00 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    },
    {
        ""Day"": ""sunday"",
        ""Opening_Hour"": ""10:30 am"",
        ""Closing_Hour"": ""12:00 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    }
]",Friday,10,10:00–11:59
1105,353,,,Grace Outreach Ministry,919-423-3215,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday,  M-F (Emergency) = 10:30am-12:00pm","612 Gary St., Durham, NC 27703",27703,,,35.9909709,-78.8701335,Food Distribution,Food Pantries,,se habla español,,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday,  M-F (Emergency) = 10:30am-12:00pm","[
    {
        ""Day"": ""monday"",
        ""Opening_Hour"": ""10:30 am"",
        ""Closing_Hour"": ""12:00 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    },
    {
        ""Day"": ""tuesday"",
        ""Opening_Hour"": ""10:30 am"",
        ""Closing_Hour"": ""12:00 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    },
    {
        ""Day"": ""wednesday"",
        ""Opening_Hour"": ""10:30 am"",
        ""Closing_Hour"": ""12:00 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    },
    {
        ""Day"": ""thursday"",
        ""Opening_Hour"": ""10:30 am"",
        ""Closing_Hour"": ""12:00 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    },
    {
        ""Day"": ""friday"",
        ""Opening_Hour"": ""10:30 am"",
        ""Closing_Hour"": ""12:00 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    },
    {
        ""Day"": ""saturday"",
        ""Opening_Hour"": ""10:30 am"",
        ""Closing_Hour"": ""12:00 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    },
    {
        ""Day"": ""sunday"",
        ""Opening_Hour"": ""10:30 am"",
        ""Closing_Hour"": ""12:00 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    }
]",Saturday,10,10:00–11:59
1107,353,,,Grace Outreach Ministry,919-423-3215,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday,  M-F (Emergency) = 10:30am-12:00pm","612 Gary St., Durham, NC 27703",27703,,,35.9909709,-78.8701335,Food Distribution,Food Pantries,,se habla español,,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday,  M-F (Emergency) = 10:30am-12:00pm","[
    {
        ""Day"": ""monday"",
        ""Opening_Hour"": ""10:30 am"",
        ""Closing_Hour"": ""12:00 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    },
    {
        ""Day"": ""tuesday"",
        ""Opening_Hour"": ""10:30 am"",
        ""Closing_Hour"": ""12:00 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    },
    {
        ""Day"": ""wednesday"",
        ""Opening_Hour"": ""10:30 am"",
        ""Closing_Hour"": ""12:00 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    },
    {
        ""Day"": ""thursday"",
        ""Opening_Hour"": ""10:30 am"",
        ""Closing_Hour"": ""12:00 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    },
    {
        ""Day"": ""friday"",
        ""Opening_Hour"": ""10:30 am"",
        ""Closing_Hour"": ""12:00 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    },
    {
        ""Day"": ""saturday"",
        ""Opening_Hour"": ""10:30 am"",
        ""Closing_Hour"": ""12:00 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    },
    {
        ""Day"": ""sunday"",
        ""Opening_Hour"": ""10:30 am"",
        ""Closing_Hour"": ""12:00 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    }
]",Sunday,10,10:00–11:59
1109,354,,,Greater Refuge Temple,919-608-7525,"Wednesday, 10:00am-12:00pm","1438 Maplewood Dr., Durham, NC 27704",27704,,,36.0333622,-78.86570929999999,Food Distribution,Food Pantries,Tercer miercoles,Clothes,,"Wednesday, 10:00am-12:00pm","[
    {
        ""Day"": ""wednesday"",
        ""Opening_Hour"": ""10:00 am"",
        ""Closing_Hour"": ""12:00 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    }
]",Wednesday,10,10:00–11:59
1111,357,,,Greater Walltown United Holy Church Inc,919-220-7087,"Wednesday, 11:00am-1:30pm","706 Belvin Avenue, Durham, NC 27704",27704,DURHAM,,36.0349706,-78.8848174,Food Distribution,Food Pantries,,,,"Wednesday, 11:00am-1:30pm","[
    {
        ""Day"": ""wednesday"",
        ""Opening_Hour"": ""11:00 am"",
        ""Closing_Hour"": ""01:30 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    }
]",Wednesday,11,10:00–11:59
1114,358,,,"Healing with CAARE, Inc.",919-683-5300,"Tuesday, Wednesday, 11:00am-1:30pm","214 Broadway St., Durham, NC 27701",27701,,,36.0012627,-78.89879169999999,Food Distribution,Food Pantries,"Arrive early, Other requirements. Please call. Also open Fridays for emergencies","Fresh Food, Clothes",,"Tuesday, Wednesday, 11:00am-1:30pm","[
    {
        ""Day"": ""tuesday"",
        ""Opening_Hour"": ""11:00 am"",
        ""Closing_Hour"": ""01:30 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    },
    {
        ""Day"": ""wednesday"",
        ""Opening_Hour"": ""11:00 am"",
        ""Closing_Hour"": ""01:30 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    }
]",Tuesday,11,10:00–11:59
1117,358,,,"Healing with CAARE, Inc.",919-683-5300,"Tuesday, Wednesday, 11:00am-1:30pm","214 Broadway St., Durham, NC 27701",27701,,,36.0012627,-78.89879169999999,Food Distribution,Food Pantries,"Arrive early, Other requirements. Please call. Also open Fridays for emergencies","Fresh Food, Clothes",,"Tuesday, Wednesday, 11:00am-1:30pm","[
    {
        ""Day"": ""tuesday"",
        ""Opening_Hour"": ""11:00 am"",
        ""Closing_Hour"": ""01:30 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    },
    {
        ""Day"": ""wednesday"",
        ""Opening_Hour"": ""11:00 am"",
        ""Closing_Hour"": ""01:30 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    }
]",Wednesday,11,10:00–11:59
1120,359,,,House of Mercy (Celebracion Cristiana),,"Wednesday, 10:00am-12:00pm","1305 Odyssey Drive, Durham, NC 27713",27703,,,35.9310587,-78.89325199999999,Food Distribution,Food Pantries,Drive-thru,Diapers,,"Wednesday, 10:00am-12:00pm","[
    {
        ""Day"": ""wednesday"",
        ""Opening_Hour"": ""10:00 am"",
        ""Closing_Hour"": ""12:00 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    }
]",Wednesday,10,10:00–11:59
1122,362,,,ICNA Food Relief Pantry aka Durham Neighborhood Pantry,,Saturday (2nd Sat) 2:00pm-4:00pm,"3034 Fayetteville Street, Durham, NC 27707",27707,,,35.962899,-78.9085812,Food Distribution,Food Pantries,"Stay in car, Must show ID, Drive-thru","Hygiene supplies, se habla español, Financial support",,Saturday (2nd Sat) 2:00pm-4:00pm,"[
    {
        ""Day"": ""saturday"",
        ""Opening_Hour"": ""02:00 pm"",
        ""Closing_Hour"": ""04:00 pm"",
        ""Week"": [
            ""2""
        ]
    }
]",Saturday,14,14:00–15:59
1124,363,,,Iglesia Buen Pastor (IFFS),919-451-9394,"(1st Sat), 7:00 - No more food ","1852 Liberty St., Durham, NC 27703",27703,,,35.9899064,-78.8686298,Food Distribution,Food Pantries,"Stay in car, Arrive early","Clothes, se habla español",,"(1st Sat), 7:00 - No more food ","[
    {
        ""Day"": ""saturday"",
        ""Opening_Hour"": ""07:00 am"",
        ""Closing_Hour"": ""unknown"",
        ""Week"": [
            ""1""
        ]
    }
]",Saturday,7,06:00–07:59
1125,364,,,Iglesia La Semilla,,"(2nd Tues, last Sat) Tuesday = 6:00pm Saturday = 11:00am","806 Clarendon Street, Durham, NC 27705",27705,,,36.010348936766,-78.91811429102789,Food Distribution,Food Pantries,,,,"(2nd Tues, last Sat) Tuesday = 6:00pm Saturday = 11:00am","[
    {
        ""Day"": ""tuesday"",
        ""Opening_Hour"": ""06:00 pm"",
        ""Closing_Hour"": ""unknown"",
        ""Week"": [
            ""1""
        ]
    },
    {
        ""Day"": ""saturday"",
        ""Opening_Hour"": ""11:00 am"",
        ""Closing_Hour"": ""unknown"",
        ""Week"": [
            ""1""
        ]
    }
]",Tuesday,18,18:00–19:59
1126,364,,,Iglesia La Semilla,,"(2nd Tues, last Sat) Tuesday = 6:00pm Saturday = 11:00am","806 Clarendon Street, Durham, NC 27705",27705,,,36.010348936766,-78.91811429102789,Food Distribution,Food Pantries,,,,"(2nd Tues, last Sat) Tuesday = 6:00pm Saturday = 11:00am","[
    {
        ""Day"": ""tuesday"",
        ""Opening_Hour"": ""06:00 pm"",
        ""Closing_Hour"": ""unknown"",
        ""Week"": [
            ""1""
        ]
    },
    {
        ""Day"": ""saturday"",
        ""Opening_Hour"": ""11:00 am"",
        ""Closing_Hour"": ""unknown"",
        ""Week"": [
            ""1""
        ]
    }
]",Saturday,11,10:00–11:59
1127,365,,,Immanuel Temple Seventh Day Adventist Church,919-957-0032,Saturday (2nd Sat) 12:00pm – No More Food,"2102 S. Alston Ave, Durham, NC 27707",27707,,,35.9609984,-78.888244,Food Distribution,Feeding Program,"Call for appointment, Drive-thru",,,Saturday (2nd Sat) 12:00pm – No More Food,"[
    {
        ""Day"": ""saturday"",
        ""Opening_Hour"": ""12:00 pm"",
        ""Closing_Hour"": ""unknown"",
        ""Week"": [
            ""2""
        ]
    }
]",Saturday,12,12:00–13:59
1128,366,,,Jewels Feeding Friends,919-323-7931,"Saturday (2nd Sat, Hot Meals Every Other Month @ Oakwood Park on Holloway Street) Pantry: 9:30am Hot Meals: 12:00pm-2:00-pm","1701 Sherman Ave., Durham, NC 27707 // 411 Holloway Street , Durham, NC 27701",27707,,,35.9639125,-78.8877356,Food Distribution,Feeding Program,,"Hot meals, Fresh Food",,"Saturday (2nd Sat, Hot Meals Every Other Month @ Oakwood Park on Holloway Street) Pantry: 9:30am Hot Meals: 12:00pm-2:00-pm","[
    {
        ""Day"": ""saturday"",
        ""Opening_Hour"": ""09:30 am"",
        ""Closing_Hour"": ""02:00 pm"",
        ""Week"": [
            ""2""
        ]
    }
]",Saturday,9,08:00–09:59
1133,367,,,Jewish For Good,919-354-4922,Tuesday (4th Tue) 1:00pm-3:00pm ,"1937 West Cornwallis Road, Durham, NC 27705",27705,,,35.9794121,-78.9554223,Food Distribution,Food Pantries,"Call for appointment, Drive-thru, Other requirements. Please call.",Financial support,,Tuesday (4th Tue) 1:00pm-3:00pm ,"[
    {
        ""Day"": ""tuesday"",
        ""Opening_Hour"": ""01:00 pm"",
        ""Closing_Hour"": ""03:00 pm"",
        ""Week"": [
            ""4""
        ]
    }
]",Tuesday,13,12:00–13:59
1135,368,,,LGBTQ Center of Durham Food Pantry,919-827-1436,"Thursday, Saturday (3rd Thurs, 4th Sat) Thursday = 3:30pm-6:00pm Saturday = 1:00pm-4:00pm","1007 Broad Street, Durham, NC 27705",27705,,,36.0141211,-78.91968179999999,Food Distribution,Food Pantries,Call for appointment,,,"Thursday, Saturday (3rd Thurs, 4th Sat) Thursday = 3:30pm-6:00pm Saturday = 1:00pm-4:00pm","[
    {
        ""Day"": ""thursday"",
        ""Opening_Hour"": ""03:30 pm"",
        ""Closing_Hour"": ""06:00 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    },
    {
        ""Day"": ""saturday"",
        ""Opening_Hour"": ""01:00 pm"",
        ""Closing_Hour"": ""04:00 pm"",
        ""Week"": [
            ""3""
        ]
    }
]",Thursday,15,14:00–15:59
1138,368,,,LGBTQ Center of Durham Food Pantry,919-827-1436,"Thursday, Saturday (3rd Thurs, 4th Sat) Thursday = 3:30pm-6:00pm Saturday = 1:00pm-4:00pm","1007 Broad Street, Durham, NC 27705",27705,,,36.0141211,-78.91968179999999,Food Distribution,Food Pantries,Call for appointment,,,"Thursday, Saturday (3rd Thurs, 4th Sat) Thursday = 3:30pm-6:00pm Saturday = 1:00pm-4:00pm","[
    {
        ""Day"": ""thursday"",
        ""Opening_Hour"": ""03:30 pm"",
        ""Closing_Hour"": ""06:00 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    },
    {
        ""Day"": ""saturday"",
        ""Opening_Hour"": ""01:00 pm"",
        ""Closing_Hour"": ""04:00 pm"",
        ""Week"": [
            ""3""
        ]
    }
]",Saturday,13,12:00–13:59
1141,369,,,Ministerios Guerreros de Jesus Cristo International,919-395-7539,"Wednesday, 10:00am-12:00pm","1800 N Roboro St., Durham, NC 27701",27701,,,36.013251558538,-78.89050460628692,Food Distribution,Food Pantries,Must show ID,,,"Wednesday, 10:00am-12:00pm","[
    {
        ""Day"": ""wednesday"",
        ""Opening_Hour"": ""10:00 am"",
        ""Closing_Hour"": ""12:00 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    }
]",Wednesday,10,10:00–11:59
1143,372,,,Mt. Level Baptist,919-682-6466,"Thursday, 4:00pm-5:30pm","316 Hebron Rd., Durham, NC 27704",27704,,,36.0589489,-78.8957437,Food Distribution,Food Pantries,"Stay in car, Fill out application, Drive-thru",,,"Thursday, 4:00pm-5:30pm","[
    {
        ""Day"": ""thursday"",
        ""Opening_Hour"": ""04:00 pm"",
        ""Closing_Hour"": ""05:30 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    }
]",Thursday,16,16:00–17:59
